"Permission","Method","Endpoint","ApiVersion"
"accessReviewDecisions.accessReviewDecision","DELETE","/accessReviewDecisions/{accessReviewDecision-id}","beta"
"accessReviewDecisions.accessReviewDecision","GET","/accessReviewDecisions","beta"
"accessReviewDecisions.accessReviewDecision","GET","/accessReviewDecisions/{accessReviewDecision-id}","beta"
"accessReviewDecisions.accessReviewDecision","PATCH","/accessReviewDecisions/{accessReviewDecision-id}","beta"
"accessReviewDecisions.accessReviewDecision","POST","/accessReviewDecisions","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","GET","/accessReviews","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","POST","/accessReviews","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/applyDecisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/resetDecisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/sendReminder","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/stop","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/applyDecisions","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/resetDecisions","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/sendReminder","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/stop","beta"
"accessReviews.accessReviewDecision","DELETE","/accessReviews/{accessReview-id}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","DELETE","/accessReviews/{accessReview-id}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/decisions","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/myDecisions","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","PATCH","/accessReviews/{accessReview-id}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","PATCH","/accessReviews/{accessReview-id}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","POST","/accessReviews/{accessReview-id}/decisions","beta"
"accessReviews.accessReviewDecision","POST","/accessReviews/{accessReview-id}/myDecisions","beta"
"accessReviews.accessReviewReviewer","DELETE","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReviewReviewer","GET","/accessReviews/{accessReview-id}/reviewers","beta"
"accessReviews.accessReviewReviewer","GET","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReviewReviewer","PATCH","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReviewReviewer","POST","/accessReviews/{accessReview-id}/reviewers","beta"
"activitystatistics.activityStatistics","DELETE","/activitystatistics/{activityStatistics-id}","beta"
"activitystatistics.activityStatistics","GET","/activitystatistics","beta"
"activitystatistics.activityStatistics","GET","/activitystatistics/{activityStatistics-id}","beta"
"activitystatistics.activityStatistics","PATCH","/activitystatistics/{activityStatistics-id}","beta"
"activitystatistics.activityStatistics","POST","/activitystatistics","beta"
"admin.admin","GET","/admin","beta"
"admin.admin","GET","/admin","v1.0"
"admin.admin","PATCH","/admin","beta"
"admin.admin","PATCH","/admin","v1.0"
"admin.adminAppsAndServices","DELETE","/admin/appsAndServices","beta"
"admin.adminAppsAndServices","GET","/admin/appsAndServices","beta"
"admin.adminAppsAndServices","PATCH","/admin/appsAndServices","beta"
"admin.adminDynamics","DELETE","/admin/dynamics","beta"
"admin.adminDynamics","GET","/admin/dynamics","beta"
"admin.adminDynamics","PATCH","/admin/dynamics","beta"
"admin.adminForms","DELETE","/admin/forms","beta"
"admin.adminForms","GET","/admin/forms","beta"
"admin.adminForms","PATCH","/admin/forms","beta"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps","beta"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps","v1.0"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps/installationOptions","beta"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps/installationOptions","v1.0"
"admin.adminMicrosoft365Apps","GET","/admin/microsoft365Apps","beta"
"admin.adminMicrosoft365Apps","GET","/admin/microsoft365Apps","v1.0"
"admin.adminMicrosoft365Apps","GET","/admin/microsoft365Apps/installationOptions","beta"
"admin.adminMicrosoft365Apps","GET","/admin/microsoft365Apps/installationOptions","v1.0"
"admin.adminMicrosoft365Apps","PATCH","/admin/microsoft365Apps","beta"
"admin.adminMicrosoft365Apps","PATCH","/admin/microsoft365Apps","v1.0"
"admin.adminMicrosoft365Apps","PATCH","/admin/microsoft365Apps/installationOptions","beta"
"admin.adminMicrosoft365Apps","PATCH","/admin/microsoft365Apps/installationOptions","v1.0"
"admin.adminReportSettings","DELETE","/admin/reportSettings","beta"
"admin.adminReportSettings","DELETE","/admin/reportSettings","v1.0"
"admin.adminReportSettings","GET","/admin/reportSettings","beta"
"admin.adminReportSettings","GET","/admin/reportSettings","v1.0"
"admin.adminReportSettings","PATCH","/admin/reportSettings","beta"
"admin.adminReportSettings","PATCH","/admin/reportSettings","v1.0"
"admin.adminTodo","DELETE","/admin/todo","beta"
"admin.adminTodo","GET","/admin/todo","beta"
"admin.adminTodo","PATCH","/admin/todo","beta"
"admin.adminWindows","DELETE","/admin/windows","beta"
"admin.adminWindows","DELETE","/admin/windows/updates","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/catalog","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/catalog/entries/{catalogEntry-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/applicableContent","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deployments/{deployment-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deployments/{deployment-id}/audience","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deployments/{deployment-id}/audience/applicableContent","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/deployments/{deployment-id}/audience/members/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/products/{product-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/products/{product-id}/editions/{edition-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}/catalogEntry","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}/knowledgeBaseArticle","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/resourceConnections/{resourceConnection-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatableAssets/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatePolicies/{updatePolicy-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/applicableContent","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/{updatableAsset-id}","beta"
"admin.adminWindows","DELETE","/admin/windows/updates/updatePolicies/{updatePolicy-id}/complianceChanges/{complianceChange-id}","beta"
"admin.adminWindows","GET","/admin/windows","beta"
"admin.adminWindows","GET","/admin/windows/updates","beta"
"admin.adminWindows","GET","/admin/windows/updates/catalog","beta"
"admin.adminWindows","GET","/admin/windows/updates/catalog/entries","beta"
"admin.adminWindows","GET","/admin/windows/updates/catalog/entries/{catalogEntry-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/applicableContent","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/microsoft.graph.windowsUpdates.updateAudience","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/applicableContent","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/members","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/members/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/deployments/{deployment-id}/audience/microsoft.graph.windowsUpdates.updateAudience","beta"
"admin.adminWindows","GET","/admin/windows/updates/products","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}/editions","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}/editions/{edition-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}/revisions","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}/catalogEntry","beta"
"admin.adminWindows","GET","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}/knowledgeBaseArticle","beta"
"admin.adminWindows","GET","/admin/windows/updates/resourceConnections","beta"
"admin.adminWindows","GET","/admin/windows/updates/resourceConnections/{resourceConnection-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatableAssets","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatableAssets/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatableAssets/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/applicableContent","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/{updatableAsset-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/complianceChanges","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/complianceChanges/{complianceChange-id}","beta"
"admin.adminWindows","GET","/admin/windows/updates/updatePolicies/{updatePolicy-id}/complianceChanges/{complianceChange-id}/updatePolicy","beta"
"admin.adminWindows","PATCH","/admin/windows","beta"
"admin.adminWindows","PATCH","/admin/windows/updates","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/catalog","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/catalog/entries/{catalogEntry-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/applicableContent","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deployments/{deployment-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deployments/{deployment-id}/audience","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deployments/{deployment-id}/audience/applicableContent","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/deployments/{deployment-id}/audience/members/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/products/{product-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/products/{product-id}/editions/{edition-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}/catalogEntry","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/products/{product-id}/revisions/{productRevision-id}/knowledgeBaseArticle","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/resourceConnections/{resourceConnection-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatableAssets/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatePolicies/{updatePolicy-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/applicableContent","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/{updatableAsset-id}","beta"
"admin.adminWindows","PATCH","/admin/windows/updates/updatePolicies/{updatePolicy-id}/complianceChanges/{complianceChange-id}","beta"
"admin.adminWindows","POST","/admin/windows/updates/catalog/entries","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/applicableContent","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/exclusions/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/members/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deploymentAudiences/{deploymentAudience-id}/microsoft.graph.windowsUpdates.updateAudience","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/applicableContent","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/exclusions/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/members","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/members/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/members/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/deployments/{deployment-id}/audience/microsoft.graph.windowsUpdates.updateAudience","beta"
"admin.adminWindows","POST","/admin/windows/updates/products","beta"
"admin.adminWindows","POST","/admin/windows/updates/products/{product-id}/editions","beta"
"admin.adminWindows","POST","/admin/windows/updates/products/{product-id}/editions/{edition-id}","beta"
"admin.adminWindows","POST","/admin/windows/updates/products/{product-id}/revisions","beta"
"admin.adminWindows","POST","/admin/windows/updates/resourceConnections","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatableAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatableAssets/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatableAssets/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatableAssets/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatableAssets/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/applicableContent","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/exclusions/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.addMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/{updatableAsset-id}/microsoft.graph.windowsUpdates.removeMembers","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/microsoft.graph.windowsUpdates.enrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/members/microsoft.graph.windowsUpdates.unenrollAssets","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/audience/microsoft.graph.windowsUpdates.updateAudience","beta"
"admin.adminWindows","POST","/admin/windows/updates/updatePolicies/{updatePolicy-id}/complianceChanges","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationApplications/{configurationApplication-id}","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationDrifts/{configurationDrift-id}","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationMonitoringResults/{configurationMonitoringResult-id}","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationMonitors/{configurationMonitor-id}","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationMonitors/{configurationMonitor-id}/baseline","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationSnapshotJobs/{configurationSnapshotJob-id}","beta"
"admin.configurationManagement","DELETE","/admin/configurationManagement/configurationSnapshots/{configurationBaseline-id}","beta"
"admin.configurationManagement","GET","/admin/configurationManagement","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationApplications","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationApplications/{configurationApplication-id}","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationDrifts","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationDrifts/{configurationDrift-id}","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationMonitoringResults","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationMonitoringResults/{configurationMonitoringResult-id}","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationMonitors","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationMonitors/{configurationMonitor-id}","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationMonitors/{configurationMonitor-id}/baseline","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationSnapshotJobs","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationSnapshotJobs/{configurationSnapshotJob-id}","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationSnapshots","beta"
"admin.configurationManagement","GET","/admin/configurationManagement/configurationSnapshots/{configurationBaseline-id}","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement/configurationApplications/{configurationApplication-id}","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement/configurationDrifts/{configurationDrift-id}","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement/configurationMonitoringResults/{configurationMonitoringResult-id}","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement/configurationMonitors/{configurationMonitor-id}","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement/configurationMonitors/{configurationMonitor-id}/baseline","beta"
"admin.configurationManagement","PATCH","/admin/configurationManagement/configurationSnapshotJobs/{configurationSnapshotJob-id}","beta"
